,type,year,crimes
0,break_in,2016,18760
1,break_in,2017,16201
2,break_in,2018,15742
3,break_in,2019,16497
4,break_in,2020,14040
5,break_in,2021,11352
6,break_in,2022,10585
7,break_in,2023,11557
8,causing_injury,2016,5531
9,causing_injury,2017,5024
10,causing_injury,2018,4660
11,causing_injury,2019,4712
12,causing_injury,2020,4118
13,causing_injury,2021,4063
14,causing_injury,2022,3807
15,causing_injury,2023,3693
16,murder,2016,456
17,murder,2017,379
18,murder,2018,323
19,murder,2019,310
20,murder,2020,253
21,murder,2021,243
22,murder,2022,240
23,murder,2023,258
24,rape,2016,1886
25,rape,2017,1835
26,rape,2018,1648
27,rape,2019,1738
28,rape,2020,1582
29,rape,2021,1553
30,rape,2022,1712
31,rape,2023,1914
32,robbery_gang_armed,2016,65
33,robbery_gang_armed,2017,31
34,robbery_gang_armed,2018,31
35,robbery_gang_armed,2019,21
36,robbery_gang_armed,2020,6
37,robbery_gang_armed,2021,5
38,robbery_gang_armed,2022,16
39,robbery_gang_armed,2023,30
40,robbery_gang_unarmed,2016,10907
41,robbery_gang_unarmed,2017,9779
42,robbery_gang_unarmed,2018,6543
43,robbery_gang_unarmed,2019,6058
44,robbery_gang_unarmed,2020,2992
45,robbery_gang_unarmed,2021,3071
46,robbery_gang_unarmed,2022,2432
47,robbery_gang_unarmed,2023,2578
48,robbery_solo_armed,2016,19
49,robbery_solo_armed,2017,3
50,robbery_solo_armed,2018,9
51,robbery_solo_armed,2019,9
52,robbery_solo_armed,2020,5
53,robbery_solo_armed,2021,2
54,robbery_solo_armed,2022,7
55,robbery_solo_armed,2023,13
56,robbery_solo_unarmed,2016,3463
57,robbery_solo_unarmed,2017,4315
58,robbery_solo_unarmed,2018,3688
59,robbery_solo_unarmed,2019,3641
60,robbery_solo_unarmed,2020,4323
61,robbery_solo_unarmed,2021,2558
62,robbery_solo_unarmed,2022,2134
63,robbery_solo_unarmed,2023,1967
64,theft_other,2016,22857
65,theft_other,2017,19444
66,theft_other,2018,20065
67,theft_other,2019,19603
68,theft_other,2020,16725
69,theft_other,2021,16695
70,theft_other,2022,15434
71,theft_other,2023,15837
72,theft_vehicle_lorry,2016,3050
73,theft_vehicle_lorry,2017,2102
74,theft_vehicle_lorry,2018,1761
75,theft_vehicle_lorry,2019,1549
76,theft_vehicle_lorry,2020,921
77,theft_vehicle_lorry,2021,639
78,theft_vehicle_lorry,2022,718
79,theft_vehicle_lorry,2023,764
80,theft_vehicle_motorcar,2016,10607
81,theft_vehicle_motorcar,2017,8480
82,theft_vehicle_motorcar,2018,7413
83,theft_vehicle_motorcar,2019,6817
84,theft_vehicle_motorcar,2020,4599
85,theft_vehicle_motorcar,2021,2849
86,theft_vehicle_motorcar,2022,3271
87,theft_vehicle_motorcar,2023,3245
88,theft_vehicle_motorcycle,2016,34754
89,theft_vehicle_motorcycle,2017,31577
90,theft_vehicle_motorcycle,2018,26779
91,theft_vehicle_motorcycle,2019,22501
92,theft_vehicle_motorcycle,2020,16059
93,theft_vehicle_motorcycle,2021,9944
94,theft_vehicle_motorcycle,2022,10457
95,theft_vehicle_motorcycle,2023,10588
